 "Semantic Networks" ,
 "current version" ,
 "AI Winter" ,
 "Layer Cake" ,
 "Knowledge representation" ,
 "Knowledge Representation" ,
 "knowledge representation" ,
 "Google Assistant" ,
 "IL2" ,
 "The Glass Palace" ,
 "Satori" ,
 "A11" ,
 "London" ,
 "JSON-LD" ,
 "Description Logic" ,
 "Semantics" ,
 "human immunodeficiency virus" ,
 "Internationalized Resource Identifier" ,
 "IRI" ,
 "Chronic disease" ,
 "Mona Lisa" ,
 "Neo4J" ,
 "Gefitinib" ,
 "gefitinib" ,
 "Facebook Graph Search" ,
 "DBpedia" ,
 "DBpedia Spotlight" ,
 "DBPedia" ,
 "mutation" ,
 "PubMed" ,
 "PMID" ,
 "Java" ,
 "Alice" ,
 "KR" ,
 "RDF Schema" ,
 "rdfs" ,
 "RDFS" ,
 "Scott" ,
 "SMAD3" ,
 "Winograd" ,
 "TBL" ,
 "datatype" ,
 "French" ,
 "Reading" ,
 "auteur" ,
 "PHP" ,
 "A12" ,
 "Mona" ,
 "KB" ,
 "RDFa" ,
 "SPARQL" ,
 "sparql" ,
 "TED" ,
 "Semantic Web" ,
 "semantics" ,
 "semantic" ,
 "McCulloch" ,
 "KITLG" ,
 "expression" ,
 "RDF" ,
 "rdf" ,
 "Resource Description Framework (RDF)" ,
 "Resource Description Framework" ,
 "MAPK1" ,
 "World Wide Web Consortium (W3C)" ,
 "World Wide Web Consortium" ,
 "W3C Recommendation" ,
 "W3C" ,
 "human-readable" ,
 "Data Integration" ,
 "Data integration" ,
 "Liyang" ,
 "Cyc" ,
 "GRB2" ,
 "Precision Medicine" ,
 "Hanover" ,
 "XML" ,
 "RDF/XML" ,
 "SQL" ,
 "predicate" ,
 "point mutation" ,
 "N-Triples" ,
 "N-Quads" ,
 "Lennon" ,
 "Berlin" ,
 "Leonardo" ,
 "Leonardo da Vinci" ,
 "SHRDLU" ,
 "city" ,
 "strings" ,
 "le titre" ,
 "miroirs" ,
 "Bottleneck" ,
 "Linked Open Data" ,
 "LOD" ,
 "Linked Data" ,
 "LOD Datasets" ,
 "ISBN" ,
 "Knowledge Vault" ,
 "Knowledge Graph" ,
 "Le palais" ,
 "Le Palais" ,
 "N3" ,
 "suffix" ,
 "string literal" ,
 "Wikidata" ,
 "McGill" ,
 "McGill University" ,
 "public knowledge" ,
 "LinkedIn" ,
 "URL" ,
 "Uniform Resource Locator" ,
 "knowledge base" ,
 "intelligent agent" ,
 "database" ,
 "machine-readable" ,
 "Facebook" ,
 "Google News" ,
 "softmax" ,
 "NMT" ,
 "apricot" ,
 "target language" ,
 "banana" ,
 "ob" ,
 "Word2vec" ,
 "ili" ,
 "Vector Space" ,
 "vector space" ,
 "ha" ,
 "ruby" ,
 "dog" ,
 "t4" ,
 "python" ,
 "Python" ,
 "scalar" ,
 "scalar product" ,
 "dot product" ,
 "Dot product" ,
 "Google Books" ,
 "discrete random variable" ,
 "harmonic" ,
 "partition" ,
 "fair coin" ,
 "Fair coin" ,
 "Italian" ,
 "Learning Curve" ,
 "Supervised learning" ,
 "ID3" ,
 "Pb" ,
 "inductive bias" ,
 "Inductive bias" ,
 "RV" ,
 "F6" ,
 "F4" ,
 "F3" ,
 "0H" ,
 "FN" ,
 "Outliers" ,
 "outlier" ,
 "class F7" ,
 "metric" ,
 "F1" ,
 "Voltaire" ,
 "regression" ,
 "John Snow" ,
 "bass" ,
 "HM" ,
 "Thai" ,
 "Tom Mitchell" ,
 "Red Square" ,
 "Essence" ,
 "class F4" ,
 "clustering algorithm" ,
 "moustache" ,
 "Netflix" ,
 "Entropy" ,
 "entropy" ,
 "class F6" ,
 "rote learning" ,
 "Mitchell" ,
 "Handwriting recognition" ,
 "disjoint sets" ,
 "Black" ,
 "Socrates" ,
 "Essential Information" ,
 "Ockham" ,
 "F7" ,
 "connectionist" ,
 "parallel distributed processing" ,
 "HP Labs" ,
 "Blue Circle" ,
 "big eyes" ,
 "F5" ,
 "Time complexity" ,
 "medicine" ,
 "physician" ,
 "Red Circle" ,
 "cholera" ,
 "Nina" ,
 "data acquisition" ,
 "F-Measure" ,
 "Sv" ,
 "Extrapolate" ,
 "Decision Trees" ,
 "Euclidean distance" ,
 "Euclidean" ,
 "salmon" ,
 "Spam filtering" ,
 "credit card fraud" ,
 "calculator" ,
 "Your Decision" ,
 "log2" ,
 "Centroid" ,
 "impossible event" ,
 "Roulette" ,
 "feature vector" ,
 "IG" ,
 "POS tags" ,
 "The document" ,
 "big cat" ,
 "case law" ,
 "qi" ,
 "Othello" ,
 "roast beef" ,
 "Howard" ,
 "Unstructured Information Management Architecture" ,
 "UIMA" ,
 "verb" ,
 "L2 norm" ,
 "TensorFlow" ,
 "UK" ,
 "fMLP" ,
 "Pride" ,
 "HTML" ,
 "Hamlet" ,
 "Vector Space Model" ,
 "vector space model" ,
 "tft" ,
 "Even worse" ,
 "Cambridge University Press" ,
 "Schütze" ,
 "morphological" ,
 "2D" ,
 "high-dimensional space" ,
 "Brill tagger" ,
 "PDF" ,
 "Tempest" ,
 "Trichoderma reesei" ,
 "Rare" ,
 "inflected" ,
 "inflection" ,
 "JAPE" ,
 "grammar" ,
 "lengths" ,
 "magnitude" ,
 "source code" ,
 "Keras" ,
 "normalized" ,
 "PyTorch" ,
 "Lemmatization" ,
 "Porter" ,
 "incidence matrix" ,
 "idf" ,
 "Sheffield" ,
 "plain text" ,
 "Caesar" ,
 "Julius" ,
 "word segmentation" ,
 "insurance" ,
 "CLEOPATRA" ,
 "Cleopatra" ,
 "unit sphere" ,
 "Cosine" ,
 "cosine" ,
 "Brutus" ,
 "BRUTUS" ,
 "VSM" ,
 "lemma" ,
 "Hannes" ,
 "GATE" ,
 "Macbeth" ,
 "Wuthering Heights" ,
 "Hinrich" ,
 "Apache Software Foundation" ,
 "hyphen" ,
 "Manning Publications" ,
 "open source" ,
 "Open Source" ,
 "cosine similarity" ,
 "Cosine similarity" ,
 "inverse document frequency" ,
 "term frequency" ,
 "tf-idf" ,
 "cross product" ,
 "Thought experiment" ,
 "Apache" ,
 "Doc" ,
 "plagiarism" ,
 "LGPL" ,
 "calpurnia" ,
 "CALPURNIA" ,
 "Calpurnia" ,
 "NLTK" ,
 "Prabhakar Raghavan" ,
 "dft" ,
 "library" ,
 "NEs" ,
 "Weak AI" ,
 "Brad Rutter" ,
 "Ray Kurzweil" ,
 "Kurzweil" ,
 "arithmetic" ,
 "Alan Turing" ,
 "anthropomorphic" ,
 "probabilistic reasoning" ,
 "psychologist" ,
 "RET" ,
 "pronoun" ,
 "Lotus Development" ,
 "psychotherapist" ,
 "automation" ,
 "self-awareness" ,
 "consciousness" ,
 "drum roll" ,
 "robot" ,
 "ALPAC" ,
 "Intel Core 2 Duo" ,
 "Spell checker" ,
 "Kasparov" ,
 "AlphaGo" ,
 "Ken Jennings" ,
 "Turing test" ,
 "Turing Test" ,
 "Periodic Table" ,
 "standard definition" ,
 "reflex" ,
 "Jeopardy!" ,
 "Strong AI" ,
 "logic" ,
 "formal logic" ,
 "Deep Blue" ,
 "Kramnik" ,
 "plain" ,
 "CAPTCHA" ,
 "toy-" ,
 "computer science" ,
 "Computer Science" ,
 "Natural language" ,
 "x-ray vision" ,
 "supercomputer" ,
 "human intelligence" ,
 "intelligence" ,
 "Joseph Weizenbaum" ,
 "reasoned action" ,
 "Mitchell Kapor" ,
 "Grammar checker" ,
 "schema" ,
 "Amsterdam" ,
 "class(es)" ,
 "David Wood" ,
 "The Artist" ,
 "RW" ,
 "Gene Ontology" ,
 "Christian" ,
 "KG" ,
 "entailment" ,
 "Morgan" ,
 "Pokémon" ,
 "transitive" ,
 "The members" ,
 "CSV" ,
 "Schema.org" ,
 "schema.org" ,
 "silo" ,
 "Nexus" ,
 "Alone" ,
 "Oscars" ,
 "social networking" ,
 "social network" ,
 "Luke" ,
 "vvv" ,
 "Dublin Core" ,
 "ontology" ,
 "Ontologies" ,
 "ontological" ,
 "ontologies" ,
 "Ontology" ,
 "RDF triple" ,
 "RDF Triple" ,
 "pseudocode" ,
 "Quebec" ,
